 1242  F   F-30-39        71                   0 CAPES                00:39:57 00:32:15    06:27
 2589  F   F-30-39        72                   0                      00:32:37 00:32:16    06:27
 2940  F   F-30-39        73                   0                      00:32:44 00:32:16    06:27
 1102  F   F-30-39        74                   0 ACM/FEFISO           00:37:33 00:32:16    06:27
 2231  F   F-30-39        75                   0 SERAFIM RUNNERS      00:32:25 00:32:18    06:27
 2757  F   F-40-49        76                   0                      00:33:23 00:32:19    06:27
 3302  F   F-30-39        76                   0                      00:32:48 00:32:21    06:28
 2642  F   F-14-29        51                   0                      00:34:15 00:32:21    06:28
 2628  F   F-40-49        77                   0                      00:34:14 00:32:22    06:28
 2450  F   F-30-39        77                   0                      00:32:26 00:32:25    06:28
 2818  F   F-40-49        78                   0                      00:34:05 00:32:26    06:28
 1666  F   F-50-59        23                   0 EQUIPE MONTANHA      00:34:59 00:32:27    06:29
 3231  F   F-14-29        52                   0                      00:36:23 00:32:28    06:29
 3230  F   F-14-29        53                   0                      00:34:08 00:32:30    06:30
 2779  F   F-14-29        54                   0                      00:32:36 00:32:31    06:30
 2417  F   F-40-49        79                   0 WILL TEAM            00:32:39 00:32:31    06:30
 2126  F   F-50-59        24                   0 PIEDADE              00:34:20 00:32:31    06:30
 2746  F   F-30-39        78                   0                      00:34:40 00:32:32    06:30
 2301  F   F-50-59        25                   0 SPORT MIND           00:34:15 00:32:33    06:30
 1481  F   F-14-29        55                   0 DL ASSESSORIA RUNNIN 00:37:00 00:32:33    06:30
 1254  F   F-14-29        56                   0 CAROL CAMARGO        00:33:44 00:32:34    06:30
 1995  F   F-30-39        79                   0 MACENAS              00:38:25 00:32:35    06:30
 2368  F   F-14-29        57                   0 UDG RUNNING CREW     00:35:39 00:32:36    06:31
 1596  F   F-40-49        80                   0 EQUIPE BILL          00:32:43 00:32:39    06:31
 3004  F   F-30-39        80                   0                      00:32:51 00:32:39    06:31
 2124  F   F-30-39        81                   0 PEP RUN              00:35:10 00:32:41    06:31
 1801  F   F-40-49        81                   0 FT ASSESSORIA        00:33:08 00:32:42    06:32
 1562  F   F-40-49        82                   0 ELAINE               00:33:24 00:32:42    06:32
 2742  F   F-14-29        58                   0                      00:35:02 00:32:42    06:32
 3209  F   F-14-29        59                   0                      00:37:34 00:32:42    06:32
 1937  F   F-14-29        60                   0 I9 CENTRO DE TREINAM 00:39:38 00:32:46    06:33
 1255  F   F-30-39        82                   0 CAROL P LINK S       00:34:03 00:32:48    06:33
 1743  F   F-30-39        83                   0 FARMA PONTE          00:37:57 00:32:48    06:33
 2339  F   F-60-69         8                   0 TEREZA SILVA         00:34:02 00:32:49    06:33
 2896  F   F-40-49        83                   0                      00:34:34 00:32:52    06:34
 3169  F   F-30-39        84                   0                      00:32:59 00:32:54    06:34
 1450  F   F-40-49        84                   0 DIVAS QUE CORREM     00:32:56 00:32:55    06:34
 1798  F   F-40-49        85                   0 FT                   00:33:23 00:32:55    06:34
 2599  F   F-30-39        85                   0                      00:33:31 00:32:55    06:34
 3263  F   F-40-49        86                   0                      00:33:25 00:32:56    06:34
 2508  F   F-14-29        61                   0                      00:38:14 00:32:56    06:34
