NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
10/03/1982,Feminino,Sorocaba,Assp,5 KM
26/08/1980,Masculino,Sorocaba,,5 KM
03/06/1983,Feminino,Sorocaba,Divas-FP2025,5 KM
18/12/1979,Masculino,Sorocaba,,5 KM
29/05/1961,Masculino,Sorocaba,ABBA SOROCABA,5 KM
22/10/1965,Feminino,Sorocaba,ABBA sorocaba,5 KM
09/03/1982,Feminino,Votorantim,Velocy,10 KM
16/09/1972,Feminino,Sorocaba,FT assessoria,5 KM
15/09/1984,Feminino,Sorocaba,Os Carçudos,10 KM
10/07/1960,Masculino,Sorocaba,EDEN RACE,10 KM
12/06/1979,Feminino,São Roque,Avulso,10 KM
11/08/1990,Feminino,Salto de Pirapora,,5 KM
05/07/1999,Feminino,Sorocaba,Divas,10 KM
15/01/1979,Feminino,São Roque,,5 KM
05/05/1989,Feminino,Sorocaba,,5 KM
29/06/1993,Feminino,Sorocaba,,5 KM
04/07/1988,Feminino,Sorocaba,Ágape,10 KM
07/11/1988,Masculino,Sorocaba,Ágape,10 KM
20/03/2000,Masculino,Sorocaba,Sem equipe,5 KM
20/09/1994,Masculino,Sorocaba,Raytech,5 KM
02/05/1990,Feminino,Sorocaba,Raytech,5 KM
18/04/1978,Feminino,Sorocaba,As parças,5 KM
09/11/1979,Masculino,Sorocaba,,5 KM
02/04/1980,Masculino,Sorocaba,,10 KM
13/11/1993,Feminino,Sorocaba,,5 KM
02/02/1980,Masculino,Sorocaba,Solo,10 KM
10/10/1983,Feminino,Votorantim,..,5 KM
14/07/1997,Feminino,Sorocaba,,5 KM
21/02/1976,Feminino,Votorantim,Divas que Correm,5 KM
29/06/1973,Masculino,SOROCABA,GUARDA,10 KM
08/10/1987,Feminino,Sorocaba,Divas,5 KM
23/12/1993,Feminino,Sorocaba,,5 KM
18/03/1993,Masculino,Sorocaba,Alemãozinho sorvetes.,5 KM
11/02/1998,Masculino,Sorocaba,Ceipre fisioterapia,5 KM
10/05/2001,Masculino,Sorocaba,Peixe Pro,5 KM
31/03/1979,Feminino,Sorocaba,,10 KM
30/06/1997,Feminino,Sorocaba,Nenhuma,5 KM
20/10/1972,Feminino,Sorocaba,,5 KM
11/07/1993,Feminino,Sorocaba,,5 KM
17/05/1983,Feminino,Sorocaba,,5 KM
13/01/1990,Masculino,Sorocaba,Aasp,5 KM
20/06/1990,Feminino,Sorocaba,Aasp,5 KM
15/12/1972,Masculino,Pilar do Sul,YASUDA Team,5 KM
05/04/2001,Masculino,Votorantim,Caps Corp,10 KM
08/11/2000,Masculino,Sorocaba,ACM/FEFISO,5 KM
18/11/1991,Feminino,Votorantim,N/A,5 KM
14/09/1988,Masculino,Tatuí,AVULSO,5 KM
16/10/1999,Feminino,Sorocaba,,5 KM
11/07/1978,Masculino,Alumínio,Divas Q correm,PCD
01/01/1999,Feminino,Sorocaba,PCD,PCD
17/08/1977,Feminino,Sorocaba,,5 KM
26/03/1997,Feminino,Sorocaba,,10 KM
29/02/1996,Masculino,Sorocaba,,10 KM
05/12/1981,Feminino,Itu,Avulso,10 KM
05/10/1978,Feminino,Itu,,5 KM
05/10/1990,Feminino,Mairinque,,5 KM
20/10/1988,Feminino,Itapetininga,Sem equipe,5 KM
24/04/1990,Feminino,Votorantim,,5 KM
23/05/1991,Feminino,Sorocaba,Juliano Regaçoni,5 KM
25/06/1993,Masculino,Votorantim,,10 KM
10/12/2008,Masculino,Angatuba,Corre Peste,10 KM
17/02/1989,Feminino,Sorocaba,Fast Corredores,5 KM
24/08/1985,Feminino,Sorocaba,Fefiso/ ACM,5 KM
21/02/1986,Feminino,Sorocaba,,5 KM
20/05/1991,Masculino,Iperó,Harder,5 KM
16/03/1978,Feminino,Piedade,OPEN RUN,10 KM
16/10/1990,Masculino,Sorocaba,Ducorre,5 KM
08/05/1968,Feminino,Sorocaba,Sem,10 KM
22/04/1997,Feminino,Sorocaba,,10 KM
05/04/1991,Masculino,Votorantim,,10 KM
07/07/1988,Masculino,Sorocaba,,5 KM
23/08/2000,Feminino,Sorocaba,,5 KM
25/11/1992,Feminino,Sorocaba,,5 KM
08/01/1991,Masculino,Sorocaba,FT ASSESSORIA,10 KM
27/04/2011,Feminino,Sorocaba,,5 KM
21/09/1979,Masculino,Boituva,CORNETAS RUNNING,5 KM
28/04/1983,Feminino,Sorocaba,AASP,5 KM
20/08/1986,Masculino,Sorocaba,ACM/FEFISO,10 KM
11/11/1995,Masculino,Sorocaba,,10 KM
25/06/1991,Masculino,Sorocaba,EDENRACE10,5 KM
31/10/1991,Masculino,Sorocaba,,5 KM
06/12/1991,Feminino,Sorocaba,,5 KM
28/05/1998,Masculino,Sorocaba,Gato a jato,5 KM
13/05/1978,Feminino,Itapetininga,divas que correm,5 KM
07/09/1964,Masculino,Sorocaba,,5 KM
09/11/2000,Feminino,Campina do monte alegre,Studio SuperAção,10 KM
03/10/2005,Masculino,Sorocaba,,5 KM
16/01/1990,Masculino,Sorocaba,,5 KM
29/12/1987,Feminino,Sorocaba,ACM-FEFISO-10,5 KM
10/05/1999,Masculino,Sorocaba,,10 KM
07/06/1971,Masculino,Sorocaba,Mood Run,10 KM
01/06/1989,Feminino,Sorocaba,,5 KM
07/11/2000,Masculino,Sorocaba,Peixe Pro,10 KM
15/08/1988,Masculino,Votorantim,,10 KM
11/02/1991,Feminino,Sorocaba,,5 KM
06/08/1986,Feminino,Sorocaba,,10 KM
15/01/1992,Masculino,Salto de Pirapora,,10 KM
18/03/1967,Feminino,Sorocaba,FTassessoria,5 KM
09/05/1984,Feminino,Sorocaba,FT ASSESSORIA,5 KM
30/01/1991,Feminino,Sorocaba,,5 KM
31/08/1977,Feminino,Sorocaba,Divas que correm,5 KM
22/12/1992,Feminino,SÃO ROQUE,Family Running,5 KM
10/06/1971,Masculino,Sorocaba,Studio MP,5 KM
12/06/2001,Masculino,Sorocaba,Aasp Sorocaba,5 KM
01/11/1979,Feminino,Sorocaba,,5 KM
05/12/1995,Feminino,Barra do Chapéu,,5 KM
02/05/1996,Feminino,Sorocaba,,5 KM
19/06/1987,Feminino,Sorocaba,Conal,10 KM
18/04/1980,Masculino,Sorocaba,Runderson,10 KM
24/06/2002,Feminino,Sorocaba,"''Amanda Dias""",PCD
03/05/2009,Masculino,Votorantim,Sem equipe,5 KM
13/08/1992,Feminino,Sorocaba,Team Roldão,5 KM
12/03/1992,Masculino,sorocaba,Team Roldão,5 KM
23/03/2000,Feminino,Sorocaba,Mood Run,5 KM
22/08/1997,Feminino,Sorocaba,IFRUNNING,5 KM
15/02/1969,Masculino,Sorocaba,IFRUNNING,5 KM
07/12/1995,Masculino,Sorocaba,Velocy,5 KM
22/07/1989,Masculino,Sorocaba,Velocy team,5 KM
20/11/1994,Masculino,Araçoiaba da Serra,4 weas,10 KM
30/07/1981,Masculino,Sorocaba,Peixe Pro,5 KM
16/02/2008,Masculino,Sorocaba,PEIXE PRO,5 KM
27/12/2010,Masculino,Sorocaba,PEIXE PRO,5 KM
15/06/1987,Masculino,Sorocaba,Lacoruja runing,10 KM
13/06/1979,Feminino,Sorocaba,WILL TEAM,10 KM
18/03/1973,Masculino,SOROCABA,WILL TEAM,10 KM
27/03/1982,Feminino,Sorocaba,Mundo Acqua e fitness,5 KM
22/11/1993,Feminino,Sorocaba,,5 KM
30/08/1996,Masculino,Sorocaba,,5 KM
