NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
04/02/1991,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 10Km
17/06/1995,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 5Km
19/05/1956,MASCULINO,PIEDADE,,Informe sua distância: Corrida 10Km
19/02/1960,MASCULINO,ARACARIGUAMA,,Informe sua distância: Corrida 5Km
11/03/1986,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
11/10/1969,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
12/01/1963,MASCULINO,MAUA,Velhotes,Informe sua distância: Corrida 5Km
10/11/1990,FEMININO,SOROCABA,ACM/FEFISO,Informe sua distância: Corrida 5Km
31/01/1990,MASCULINO,SOROCABA,ACM/FEFISO,Informe sua distância: Corrida 5Km
15/12/1968,MASCULINO,SOROCABA,Makino,Informe sua distância: Corrida 5Km
18/08/1965,FEMININO,SETE BARRAS,,Informe sua distância: Corrida 5Km
19/06/1988,MASCULINO,VOTORANTIM,Matheus,Informe sua distância: Corrida 5Km
28/01/1991,MASCULINO,ITAPETININGA,Rio branco Runner,Informe sua distância: Corrida 5Km
28/08/1998,FEMININO,ITAPETININGA,Power Run,Informe sua distância: Corrida 5Km
01/03/1974,FEMININO,ITAPETININGA,Power Run,Informe sua distância: Corrida 5Km
01/08/1989,MASCULINO,SARAPUI,,Informe sua distância: Corrida 10Km
12/08/1993,FEMININO,SOROCABA,ACM/FEFISO,Informe sua distância: Corrida 10Km
08/08/1992,MASCULINO,OSASCO,ACM/FEFISO,Informe sua distância: Corrida 10Km
08/02/1975,FEMININO,SOROCABA,Solhas,Informe sua distância: Corrida 10Km
19/06/1978,FEMININO,ARACARIGUAMA,,Informe sua distância: Corrida 5Km
25/12/1988,FEMININO,SOROCABA,nao tenho,Informe sua distância: Corrida 5Km
28/05/1981,FEMININO,Itapetininga,XV  DE NOVEMBRO,Informe sua distância: Corrida 5Km
28/07/1977,MASCULINO,Itapetininga,FLY RUNNERS,Informe sua distância: Corrida 10Km
06/07/1955,MASCULINO,SOROCABA,Soraya Telles ,Informe sua distância: Corrida 5Km
02/01/1990,MASCULINO,SOROCABA,Virgens,Informe sua distância: Corrida 10Km
03/03/1982,MASCULINO,Carapicuíba,Recorun,Informe sua distância: Corrida 10Km
06/03/1994,FEMININO,CARAPICUIBA,Recorun,Informe sua distância: Corrida 5Km
06/02/1981,MASCULINO,SOROCABA,Naporanga Run,Informe sua distância: Corrida 5Km
05/05/2002,FEMININO,Araçariguama,Fith House,Informe sua distância: Corrida 10Km
29/03/1979,FEMININO,SOROCABA,ACM/FEFISO,Informe sua distância: Corrida 5Km
26/12/1984,FEMININO,IBIUNA,MX Run,Informe sua distância: Corrida 5Km
16/11/1984,MASCULINO,IBIUNA,MX Run,Informe sua distância: Corrida 5Km
09/01/1979,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
09/10/1987,FEMININO,VARGEM GRANDE PAULISTA,,Informe sua distância: Corrida 10Km
20/12/1989,FEMININO,IBIUNA,VCI,Informe sua distância: Corrida 10Km
25/10/1988,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
04/05/2000,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
24/06/1984,MASCULINO,SOROCABA,Fast Corredores,Informe sua distância: Corrida 10Km
08/02/1985,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
14/07/2001,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
19/03/1996,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
03/11/1996,FEMININO,Sorocaba,,Informe sua distância: Corrida 5Km
28/02/1977,MASCULINO,Votorantim,#PORVOCÊ CBA,Informe sua distância: Corrida 5Km
12/09/1972,MASCULINO,SOROCABA,Individual,Informe sua distância: Corrida 10Km
07/12/1962,FEMININO,ITU,,Informe sua distância: Caminhada 3Km
03/01/1964,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
10/04/1997,FEMININO,SOROCABA,Instituto Somar,Informe sua distância: Corrida 10Km
27/08/1981,FEMININO,ITAPETININGA,,Informe sua distância: Corrida 5Km
20/07/2007,MASCULINO,ITAPETININGA,,Informe sua distância: Corrida 5Km
31/03/1963,FEMININO,SOROCABA,Avulso ,Informe sua distância: Corrida 5Km
04/12/1979,FEMININO,ITAPETININGA,Elite runners ,Informe sua distância: Corrida 5Km
04/08/1978,MASCULINO,ITAPETININGA,Elite runners ,Informe sua distância: Corrida 5Km
09/11/1986,FEMININO,SOROCABA,ATITUDE,Informe sua distância: Corrida 5Km
27/04/1991,MASCULINO,PIEDADE,,Informe sua distância: Corrida 10Km
23/07/1967,FEMININO,PIEDADE,,Informe sua distância: Caminhada 3Km
21/02/1986,FEMININO,CAPAO BONITO,Aucb,Informe sua distância: Corrida 5Km
21/03/1993,FEMININO,BOITUVA,,Informe sua distância: Corrida 10Km
01/08/1994,MASCULINO,BOITUVA,Botecchia,Informe sua distância: Corrida 10Km
11/04/2000,FEMININO,SOROCABA,MaVi ,Informe sua distância: Caminhada 3Km
07/08/1999,FEMININO,PIEDADE,,Informe sua distância: Corrida 10Km
27/09/2002,FEMININO,PIEDADE,,Informe sua distância: Corrida 10Km
12/07/1979,FEMININO,LARANJAL PAULISTA,Spazio Run ,Informe sua distância: Corrida 5Km
27/02/1977,MASCULINO,LARANJAL PAULISTA,Spazio run,Informe sua distância: Corrida 5Km
23/12/1984,FEMININO,ITU,,Informe sua distância: Corrida 10Km
08/09/1977,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
06/04/1972,FEMININO,ITAPETININGA,XV de novembro Itapetininga ,Informe sua distância: Corrida 10Km
14/01/1984,MASCULINO,IPERO,,Informe sua distância: Corrida 10Km
21/03/1990,FEMININO,IPERO,,Informe sua distância: Corrida 5Km
04/12/1979,FEMININO,ITAPETININGA,Elite runners ,Informe sua distância: Corrida 10Km
01/06/1987,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
25/10/1980,FEMININO,SOROCABA,Isabel Ribeiro ,Informe sua distância: Corrida 5Km
22/01/1981,MASCULINO,SAO ROQUE,,Informe sua distância: Corrida 5Km
29/12/1984,FEMININO,ARACOIABA DA SERRA,Discípulos em Movimento,Informe sua distância: Corrida 5Km
03/09/1960,MASCULINO,SOROCABA,rodriguesreccorun,Informe sua distância: Corrida 5Km
30/12/1997,FEMININO,SOROCABA,Pep run ,Informe sua distância: Corrida 5Km
29/01/1982,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
09/07/1973,FEMININO,ITU,,Informe sua distância: Corrida 5Km
06/06/1966,MASCULINO,ITAPETININGA,Elite Runners Itapetininga ,Informe sua distância: Corrida 5Km
09/04/1993,MASCULINO,ITAPETININGA,Elite Runners Itapetininga ,Informe sua distância: Corrida 10Km
22/10/1959,MASCULINO,PORTO FELIZ,Piratas na praia ,Informe sua distância: Corrida 5Km
20/05/1961,FEMININO,PORTO FELIZ,Piratas na praia ,Informe sua distância: Corrida 5Km
29/08/1963,FEMININO,ITAPETININGA,Elite Runners Itapetininga ,Informe sua distância: Caminhada 3Km
01/03/1982,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
28/06/1978,MASCULINO,ITU,,Informe sua distância: Corrida 10Km
24/08/1998,FEMININO,ITU,,Informe sua distância: Corrida 5Km
22/02/1970,MASCULINO,CARAPICUIBA,,Informe sua distância: Corrida 5Km
04/08/1994,MASCULINO,CARAPICUIBA,,Informe sua distância: Corrida 5Km
05/10/1993,FEMININO,CARAPICUIBA,,Informe sua distância: Corrida 5Km
22/09/1997,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
27/07/2000,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
29/08/2005,MASCULINO,ITAPETININGA,Serafim Runners ,Informe sua distância: Corrida 10Km
27/07/1988,MASCULINO,ITAPETININGA,Serafim Runners ,Informe sua distância: Corrida 10Km
03/01/1979,MASCULINO,SAO PAULO,Power Run,Informe sua distância: Corrida 5Km
10/07/1974,FEMININO,ITAPETININGA,Power Run,Informe sua distância: Corrida 5Km
18/11/1985,MASCULINO,CAPAO BONITO,AUCB,Informe sua distância: Corrida 5Km
05/01/1983,FEMININO,CAPAO BONITO,AUCB ,Informe sua distância: Corrida 5Km
04/06/1991,FEMININO,CAPAO BONITO,AUCB,Informe sua distância: Corrida 5Km
30/08/1984,MASCULINO,CAPAO BONITO,AUCB,Informe sua distância: Corrida 5Km
28/05/1984,MASCULINO,SOROCABA,Nao,Informe sua distância: Corrida 5Km
15/04/2002,MASCULINO,Ibiúna,Robinho de Lima,Informe sua distância: Corrida 10Km
03/11/1998,MASCULINO,ITAPETININGA,Serafim Runners,Informe sua distância: Corrida 5Km
13/10/1956,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
21/03/1990,MASCULINO,VOTORANTIM,ACM/FEFISO,Informe sua distância: Corrida 10Km
20/03/1988,FEMININO,VOTORANTIM,ACM/FEFISO,Informe sua distância: Corrida 5Km
21/01/1987,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
17/02/1951,FEMININO,SOROCABA,Maria,Informe sua distância: Corrida 5Km
20/09/1991,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
25/05/2001,FEMININO,SOROCABA,solhas,Informe sua distância: Corrida 10Km
25/11/1966,FEMININO,SAO MIGUEL ARCANJO,,Informe sua distância: Corrida 10Km
06/12/1971,FEMININO,SOROCABA,N,Informe sua distância: Corrida 5Km
02/09/1956,FEMININO,SAO MIGUEL ARCANJO,,Informe sua distância: Corrida 5Km
13/07/1983,FEMININO,SAO MIGUEL ARCANJO,,Informe sua distância: Corrida 5Km
06/03/1980,FEMININO,SAO MIGUEL ARCANJO,,Informe sua distância: Corrida 10Km
24/08/1992,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
08/06/1999,FEMININO,SAO PAULO,,Informe sua distância: Corrida 10Km
06/12/1992,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
18/08/1967,FEMININO,CAPAO BONITO,Aucb,Informe sua distância: Corrida 5Km
09/11/1981,FEMININO,Pilar do Sul,Atletismo Pilar do Sul ,Informe sua distância: Corrida 10Km
30/05/1980,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
15/03/1984,FEMININO,PILAR DO SUL,Atletismo Pilar do Sul ,Informe sua distância: Corrida 10Km
11/12/2008,MASCULINO,PILAR DO SUL,Atletismo Pilar do Sul ,Informe sua distância: Corrida 5Km
04/04/1983,FEMININO,PILAR DO SUL,Atletismo Pilar do Sul ,Informe sua distância: Corrida 5Km
23/07/1985,FEMININO,PILAR DO SUL,Atletismo Pilar do Sul ,Informe sua distância: Corrida 10Km
02/02/1990,FEMININO,ARACARIGUAMA,,Informe sua distância: Corrida 5Km
30/09/1990,FEMININO,SOROCABA,Ana Lima ,Informe sua distância: Corrida 5Km
01/02/1998,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
25/04/1977,MASCULINO,SOROCABA,BEROFI ,Informe sua distância: Corrida 5Km
05/08/1965,FEMININO,VARGEM GRANDE PAULISTA,,Informe sua distância: Corrida 5Km
26/07/1995,MASCULINO,SOROCABA,Peixe Pro,Informe sua distância: Corrida 5Km
12/03/1978,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
07/03/1988,FEMININO,SOROCABA,Alcatéia Runner ,Informe sua distância: Corrida 10Km
05/09/1994,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
16/04/1988,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
28/10/1997,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
01/03/1996,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
12/10/2002,FEMININO,SOROCABA,ACM/FEFISO,Informe sua distância: Corrida 5Km
08/06/1964,FEMININO,ITU,,Informe sua distância: Corrida 5Km
17/09/1975,FEMININO,SANTO ANDRE,,Informe sua distância: Corrida 10Km
01/12/1974,MASCULINO,SAO PAULO,,Informe sua distância: Corrida 10Km
30/04/1988,MASCULINO,SALTO,,Informe sua distância: Corrida 10Km
15/08/1994,FEMININO,SALTO,,Informe sua distância: Corrida 5Km
11/08/1989,MASCULINO,SOROCABA,ACM/FEFISO,Informe sua distância: Corrida 5Km
09/02/1988,FEMININO,SALTO,,Informe sua distância: Corrida 10Km
22/02/1985,MASCULINO,SALTO,,Informe sua distância: Corrida 5Km
07/01/1979,MASCULINO,VOTORANTIM,Time Alemaozinho ,Informe sua distância: Corrida 5Km
14/09/2008,MASCULINO,Votorantim,Time Alemaozinho ,Informe sua distância: Corrida 5Km
10/09/1964,MASCULINO,Alumínio,Runner/Prefeitura de Alumínio ,Informe sua distância: Corrida 5Km
02/10/1984,MASCULINO,ARACARIGUAMA,Maratonistas 2025,Informe sua distância: Corrida 5Km
14/01/1992,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
28/01/1960,MASCULINO,GUARULHOS,Avulso ,Informe sua distância: Corrida 5Km
26/04/1982,FEMININO,CAPELA DO ALTO,,Informe sua distância: Corrida 10Km
09/07/1979,FEMININO,SOROCABA,FT ASSESSORIA,Informe sua distância: Corrida 10Km
04/10/1976,MASCULINO,SOROCABA,FT ASSESSORIA ,Informe sua distância: Corrida 10Km
17/08/1977,FEMININO,CAPAO BONITO,Aucb,Informe sua distância: Corrida 5Km
10/11/1971,FEMININO,ARACARIGUAMA,,Informe sua distância: Corrida 5Km
24/01/1967,MASCULINO,ARACARIGUAMA,,Informe sua distância: Corrida 5Km
15/01/1991,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
26/01/1978,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
26/01/1978,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
29/01/1969,MASCULINO,VARGEM GRANDE PAULISTA,Eder Pires ,Informe sua distância: Corrida 10Km
18/11/1960,MASCULINO,Guarulhos,Avulso,Informe sua distância: Corrida 5Km
01/07/1987,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
26/06/1963,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
02/05/1985,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
05/05/1981,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
01/12/1951,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
29/05/1987,FEMININO,PIEDADE,ZECA TEAM,Informe sua distância: Corrida 5Km
31/12/1982,FEMININO,PIEDADE,ZECA TEAM,Informe sua distância: Corrida 5Km
10/12/1982,MASCULINO,PIEDADE,ZECA TEAM,Informe sua distância: Corrida 5Km
09/07/1979,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
16/09/2011,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
30/04/2002,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
12/05/1964,MASCULINO,SOROCABA,Siga-me ,Informe sua distância: Corrida 5Km
23/05/1979,FEMININO,ITAPETININGA,Elite Runners Itapetininga,Informe sua distância: Corrida 5Km
14/03/1971,MASCULINO,ITAPETININGA,Sem equipe,Informe sua distância: Corrida 5Km
08/03/1975,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
17/04/1972,MASCULINO,SOROCABA,CROSS X RUNNERS,Informe sua distância: Corrida 10Km
14/05/1990,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
24/07/1971,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
24/04/1984,FEMININO,CAPELA DO ALTO,"Não Pensa, só corre!",Informe sua distância: Corrida 10Km
24/02/1979,MASCULINO,CAPELA DO ALTO,"Não Pensa, só corre!",Informe sua distância: Corrida 10Km
19/10/1987,FEMININO,ARACARIGUAMA,Fithouse,Informe sua distância: Corrida 5Km
11/01/1993,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
23/02/1970,FEMININO,Itu,Kansados ,Informe sua distância: Corrida 5Km
25/04/1994,MASCULINO,COTIA,,Informe sua distância: Corrida 10Km
17/03/2004,MASCULINO,SAO MIGUEL ARCANJO,São Miguel arcanjo ,Informe sua distância: Corrida 5Km
29/09/1962,FEMININO,SAO MIGUEL ARCANJO,Run tu Live ,Informe sua distância: Corrida 5Km
14/03/1979,MASCULINO,PIEDADE,PMESP,Informe sua distância: Corrida 5Km
08/05/1993,MASCULINO,SAO ROQUE,Fiel SR,Informe sua distância: Corrida 5Km
02/10/1973,MASCULINO,SOROCABA,Aliança running ,Informe sua distância: Corrida 10Km
26/03/1992,FEMININO,SOROCABA,Aliança ,Informe sua distância: Corrida 10Km
26/05/2001,MASCULINO,VOTORANTIM,,Informe sua distância: Corrida 5Km
24/09/1990,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
15/07/1995,FEMININO,SALTO DE PIRAPORA,,Informe sua distância: Corrida 5Km
22/01/1993,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
06/10/1978,MASCULINO,SAO CARLOS,Corro para comer,Informe sua distância: Corrida 10Km
24/04/1976,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
05/10/1988,MASCULINO,Sorocaba,Avulso,Informe sua distância: Corrida 5Km
14/11/1992,FEMININO,SAO PAULO,Avulso,Informe sua distância: Corrida 5Km
10/10/1991,MASCULINO,IBIUNA,#vamucorreribiuna,Informe sua distância: Corrida 5Km
30/08/1960,FEMININO,SAO BERNARDO DO CAMPO,Corro,Informe sua distância: Corrida 10Km
04/09/1987,FEMININO,ITU,Fragoso,Informe sua distância: Corrida 10Km
22/08/1987,MASCULINO,CAMPINAS,Fragoso,Informe sua distância: Corrida 10Km
06/03/1990,MASCULINO,VOTORANTIM,Acm/fefiso,Informe sua distância: Corrida 5Km
02/01/1992,FEMININO,VOTORANTIM,Acm/fefiso,Informe sua distância: Corrida 5Km
20/08/1979,FEMININO,PIEDADE,pouco pace muita mídia,Informe sua distância: Corrida 5Km
26/06/1988,FEMININO,PIEDADE,pouco pace muita mídia,Informe sua distância: Corrida 5Km
17/03/1988,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
22/11/1977,MASCULINO,SALTO,,Informe sua distância: Corrida 10Km
01/04/1981,FEMININO,CAIEIRAS,,Informe sua distância: Corrida 5Km
10/05/1988,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
05/08/1991,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
12/05/1994,FEMININO,VOTORANTIM,ACM/FEFISO,Informe sua distância: Corrida 5Km
04/10/1991,MASCULINO,VOTORANTIM,,Informe sua distância: Corrida 5Km
10/06/1980,FEMININO,SOROCABA,Sem equipe ,Informe sua distância: Corrida 5Km
29/05/2002,MASCULINO,Sorocaba,,Informe sua distância: Corrida 10Km
23/05/1980,MASCULINO,PONTE NOVA,,Informe sua distância: Corrida 5Km
03/06/1980,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
23/12/1995,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
11/09/1986,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
04/03/1993,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
13/08/1992,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
16/11/1989,FEMININO,CAPELA DO ALTO,,Informe sua distância: Corrida 10Km
08/02/1987,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
04/06/1990,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
18/04/1990,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
02/05/1987,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
01/03/1973,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
05/02/1968,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
01/11/1986,MASCULINO,AVARE,,Informe sua distância: Corrida 10Km
01/09/1993,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
02/05/1994,FEMININO,ARACARIGUAMA,Alta Performance ,Informe sua distância: Corrida 10Km
28/10/1991,MASCULINO,PIEDADE,Kurita team ,Informe sua distância: Corrida 5Km
12/03/1993,FEMININO,PIEDADE,Kurita Team,Informe sua distância: Corrida 5Km
09/12/2002,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
25/05/1981,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
05/11/1957,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
09/08/2003,FEMININO,SAO PAULO,,Informe sua distância: Corrida 5Km
30/03/1991,FEMININO,SOROCABA,Flash thunder,Informe sua distância: Corrida 5Km
13/04/1987,MASCULINO,SOROCABA,Flash thunder,Informe sua distância: Corrida 5Km
21/01/1987,MASCULINO,SOROCABA,PROJETO ASCAM,Informe sua distância: Corrida 10Km
04/09/1959,MASCULINO,BARUERI,,Informe sua distância: Corrida 10Km
15/08/1992,FEMININO,BARUERI,,Informe sua distância: Corrida 10Km
08/05/1983,FEMININO,TATUI,Pé vermeio Tatuí ,Informe sua distância: Corrida 5Km
02/12/1991,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
20/11/1981,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 10Km
22/08/1988,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
27/12/1975,MASCULINO,ITU,0,Informe sua distância: Corrida 5Km
20/09/1987,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
01/08/1978,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
27/08/1993,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
21/11/1994,MASCULINO,OSASCO,Oséias Santos Run ,Informe sua distância: Corrida 5Km
05/12/1984,MASCULINO,PILAR DO SUL,Labaredas,Informe sua distância: Corrida 5Km
02/09/1991,MASCULINO,SOROCABA,Labaredas,Informe sua distância: Corrida 5Km
30/09/1992,MASCULINO,Carapicuíba,Mirk?s runner,Informe sua distância: Corrida 5Km
29/07/1994,FEMININO,OSASCO,Mirk?s runner,Informe sua distância: Corrida 5Km
03/06/1995,MASCULINO,SALTO,,Informe sua distância: Corrida 10Km
25/01/1975,FEMININO,Tatuí,,Informe sua distância: Corrida 5Km
20/07/1972,MASCULINO,TATUI,,Informe sua distância: Corrida 10Km
19/04/1978,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
31/10/1998,FEMININO,IBIUNA,TEAM GB,Informe sua distância: Corrida 5Km
27/11/1982,MASCULINO,Indaiatuba,,Informe sua distância: Corrida 10Km
04/12/1961,FEMININO,SAO PAULO,,Informe sua distância: Corrida 5Km
20/10/1958,FEMININO,MAIRINQUE,individual,Informe sua distância: Corrida 5Km
30/08/1987,MASCULINO,COTIA,Os Primos/Navas Endurance ,Informe sua distância: Corrida 10Km
15/11/1981,FEMININO,VARGEM GRANDE PAULISTA,Navas Endurance/Os Primos ,Informe sua distância: Corrida 10Km
25/01/1991,MASCULINO,SAO PAULO,Upgrowd,Informe sua distância: Corrida 10Km
23/02/1998,FEMININO,SAO PAULO,Upgrowd,Informe sua distância: Corrida 10Km
16/10/1993,MASCULINO,Boituva,Pulso Performance/Cornetas Running,Informe sua distância: Corrida 5Km
03/12/1963,FEMININO,Itu,,Informe sua distância: Corrida 10Km
18/11/1957,MASCULINO,MAIRINQUE,Equipe Bill,Informe sua distância: Corrida 5Km
30/08/1985,FEMININO,Sorocaba,Prieto's,Informe sua distância: Corrida 5Km
02/02/1981,MASCULINO,SOROCABA,Prieto's,Informe sua distância: Corrida 10Km
19/03/1977,MASCULINO,BOITUVA,Cornetas Running,Informe sua distância: Corrida 5Km
17/07/1976,FEMININO,BOITUVA,Cornetas Running,Informe sua distância: Corrida 5Km
13/10/1975,MASCULINO,CERQUILHO,Sem equipe,Informe sua distância: Corrida 5Km
04/03/1965,MASCULINO,BOITUVA,AOB,Informe sua distância: Corrida 10Km
23/01/1984,MASCULINO,Mairinque,,Informe sua distância: Corrida 5Km
13/06/1974,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
25/06/1980,FEMININO,SAO ROQUE,Mulheres Determinadas ,Informe sua distância: Corrida 5Km
03/05/1972,FEMININO,SAO ROQUE,Mulheres Determinadas ,Informe sua distância: Corrida 5Km
31/05/1959,FEMININO,SAO ROQUE,Mulheres Determinadas ,Informe sua distância: Corrida 5Km
29/10/1987,FEMININO,IBIUNA,Team Gb,Informe sua distância: Corrida 5Km
30/12/1994,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
20/10/1997,FEMININO,ITAPETININGA,Elite runners ,Informe sua distância: Corrida 5Km
17/09/1986,MASCULINO,SOROCABA,Éden Race,Informe sua distância: Corrida 5Km
27/05/1983,FEMININO,SOROCABA,Éden Race,Informe sua distância: Corrida 5Km
02/08/1974,MASCULINO,JANDIRA,,Informe sua distância: Corrida 10Km
25/05/1976,MASCULINO,SAO PAULO,Pindolas,Informe sua distância: Corrida 10Km
26/11/1976,FEMININO,SAO PAULO,Pindolas ,Informe sua distância: Corrida 5Km
15/05/1998,FEMININO,TATUI,,Informe sua distância: Corrida 5Km
13/01/1966,FEMININO,CARAPICUIBA,Montanha,Informe sua distância: Corrida 5Km
06/01/1989,FEMININO,ITAPETININGA,Elite runners ,Informe sua distância: Corrida 5Km
24/08/1977,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
26/08/1985,FEMININO,MAIRINQUE,Corre loucas,Informe sua distância: Corrida 10Km
21/01/1980,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
05/09/1999,MASCULINO,IBIUNA,TEAM GB,Informe sua distância: Corrida 5Km
03/08/1986,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
05/11/1978,FEMININO,CAPAO BONITO,AUCB,Informe sua distância: Corrida 5Km
25/02/1977,FEMININO,CAPAO BONITO,AUCB,Informe sua distância: Corrida 5Km
03/07/1998,FEMININO,PORTO FELIZ,,Informe sua distância: Corrida 5Km
07/09/1997,MASCULINO,PORTO FELIZ,,Informe sua distância: Corrida 5Km
24/01/2001,MASCULINO,PORTO FELIZ,,Informe sua distância: Corrida 5Km
23/07/1999,FEMININO,PORTO FELIZ,,Informe sua distância: Corrida 5Km
20/05/1979,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
24/09/1974,FEMININO,CARAPICUIBA,Equipe montanha,Informe sua distância: Corrida 5Km
20/06/1967,FEMININO,Carapicuíba,Equipe montanha,Informe sua distância: Corrida 5Km
20/12/1978,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
19/12/1952,MASCULINO,SOROCABA,único ,Informe sua distância: Corrida 5Km
31/05/1984,MASCULINO,IBIUNA,Team Gb,Informe sua distância: Corrida 5Km
28/07/1985,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
22/05/1996,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
22/10/1961,FEMININO,SOROCABA,NÃO TENHO,Informe sua distância: Caminhada 3Km
08/07/1957,MASCULINO,SOROCABA,NÃO TENHO,Informe sua distância: Caminhada 3Km
15/03/1982,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
08/07/1980,FEMININO,SOROCABA,Flash Thunder ,Informe sua distância: Corrida 5Km
29/07/1999,FEMININO,SOROCABA,Fash Thunder ,Informe sua distância: Corrida 5Km
23/07/1975,FEMININO,SOROCABA,Flash Thunder ,Informe sua distância: Corrida 5Km
10/01/1983,MASCULINO,CAPELA DO ALTO,,Informe sua distância: Corrida 10Km
21/04/1993,FEMININO,SOROCABA,avulso,Informe sua distância: Corrida 5Km
09/09/1988,MASCULINO,SOROCABA,avulso,Informe sua distância: Corrida 5Km
03/03/1943,FEMININO,SAO MIGUEL ARCANJO,RÁDIO ALIANÇA ,Informe sua distância: Corrida 5Km
